TF,Symbol,Entry,Direct,Name,Trades Total,Trades Winners,Trades Losers,Total PnL (pts),Avg PnL (pts),Max Profit (pts),Avg Profit (pts),Avg Loss (pts),Max Loss (pts)
M20,WIN$,17h00 + Intra Var > -5.0,Long,WIN$ - 17h00 + Intra Var gt -5.0 - Long,1245.0,636.0,609.0,-13490.999999999942,-10.836144578313206,1827.0,294.8616352201259,-330.0870279146141,-3583.0
M20,WIN$,17h00 + Intra Var > -5.0,Short,WIN$ - 17h00 + Intra Var gt -5.0 - Short,1245.0,618.0,627.0,13491.000000000015,10.836144578313265,3583.0,325.27993527508096,-299.09409888357254,-1827.0
M20,WIN$,17h00 + Intra Var < -5.0,Long,WIN$ - 17h00 + Intra Var lt -5.0 - Long,0.0,0.0,0.0,0.0,,,,,
M20,WIN$,17h00 + Intra Var < -5.0,Short,WIN$ - 17h00 + Intra Var lt -5.0 - Short,0.0,0.0,0.0,0.0,,,,,
M20,WIN$,17h00 + Intra Var > -3.0,Long,WIN$ - 17h00 + Intra Var gt -3.0 - Long,1239.0,632.0,607.0,-14776.000000000102,-11.925746569814448,1827.0,294.0727848101265,-330.52718286655687,-3583.0
M20,WIN$,17h00 + Intra Var > -3.0,Short,WIN$ - 17h00 + Intra Var gt -3.0 - Short,1239.0,615.0,624.0,14776.000000000044,11.925746569814402,3583.0,326.2276422764228,-297.8429487179486,-1827.0
M20,WIN$,17h00 + Intra Var < -3.0,Long,WIN$ - 17h00 + Intra Var lt -3.0 - Long,6.0,3.0,3.0,1285.0,214.16666666666666,948.0,559.3333333333334,-131.0,-144.0
M20,WIN$,17h00 + Intra Var < -3.0,Short,WIN$ - 17h00 + Intra Var lt -3.0 - Short,6.0,3.0,3.0,-1285.0000000000146,-214.1666666666691,144.0,131.0,-559.3333333333381,-948.0
M20,WIN$,17h00 + Intra Var > -1.0,Long,WIN$ - 17h00 + Intra Var gt -1.0 - Long,1036.0,553.0,483.0,9870.000000000015,9.52702702702704,1827.0,287.7106690777577,-308.9730848861284,-2428.0
M20,WIN$,17h00 + Intra Var > -1.0,Short,WIN$ - 17h00 + Intra Var gt -1.0 - Short,1036.0,492.0,544.0,-9870.000000000087,-9.527027027027112,2428.0,303.3211382113821,-292.4705882352943,-1827.0
M20,WIN$,17h00 + Intra Var < -1.0,Long,WIN$ - 17h00 + Intra Var lt -1.0 - Long,209.0,83.0,126.0,-23361.000000000015,-111.77511961722495,1300.0,342.50602409638554,-411.02380952380963,-3583.0
M20,WIN$,17h00 + Intra Var < -1.0,Short,WIN$ - 17h00 + Intra Var lt -1.0 - Short,209.0,126.0,83.0,23360.999999999985,111.77511961722482,3583.0,411.0238095238094,-342.50602409638554,-1300.0
M20,WIN$,17h00 + Intra Var > -0.5,Long,WIN$ - 17h00 + Intra Var gt -0.5 - Long,850.0,460.0,390.0,10480.0,12.329411764705883,1827.0,288.2391304347826,-313.1025641025641,-2385.0
M20,WIN$,17h00 + Intra Var > -0.5,Short,WIN$ - 17h00 + Intra Var gt -0.5 - Short,850.0,399.0,451.0,-10480.00000000003,-12.329411764705917,2385.0,306.0401002506265,-293.9911308203991,-1827.0
M20,WIN$,17h00 + Intra Var < -0.5,Long,WIN$ - 17h00 + Intra Var lt -0.5 - Long,395.0,176.0,219.0,-23970.999999999956,-60.68607594936698,1415.0,312.17045454545473,-360.33333333333326,-3583.0
M20,WIN$,17h00 + Intra Var < -0.5,Short,WIN$ - 17h00 + Intra Var lt -0.5 - Short,395.0,219.0,176.0,23970.999999999985,60.68607594936705,3583.0,360.33333333333326,-312.17045454545456,-1415.0
M20,WIN$,17h00 + Intra Var > -0.3,Long,WIN$ - 17h00 + Intra Var gt -0.3 - Long,763.0,425.0,338.0,20638.999999999985,27.049803407601555,1827.0,290.70588235294116,-304.4704142011834,-1891.0
M20,WIN$,17h00 + Intra Var > -0.3,Short,WIN$ - 17h00 + Intra Var gt -0.3 - Short,763.0,346.0,417.0,-20639.0,-27.049803407601573,1891.0,297.4306358381502,-296.28297362110305,-1827.0
M20,WIN$,17h00 + Intra Var < -0.3,Long,WIN$ - 17h00 + Intra Var lt -0.3 - Long,482.0,211.0,271.0,-34129.999999999956,-70.8091286307053,1415.0,303.23222748815147,-362.0369003690034,-3583.0
M20,WIN$,17h00 + Intra Var < -0.3,Short,WIN$ - 17h00 + Intra Var lt -0.3 - Short,482.0,271.0,211.0,34130.000000000015,70.80912863070543,3583.0,362.0369003690037,-303.23222748815164,-1415.0
M20,WIN$,17h00 + Intra Var > -0.1,Long,WIN$ - 17h00 + Intra Var gt -0.1 - Long,691.0,391.0,300.0,22215.999999999956,32.15050651230095,1827.0,294.5601023017902,-309.85666666666674,-1891.0
M20,WIN$,17h00 + Intra Var > -0.1,Short,WIN$ - 17h00 + Intra Var gt -0.1 - Short,691.0,309.0,382.0,-22216.000000000044,-32.15050651230108,1891.0,300.8317152103559,-301.50000000000006,-1827.0
M20,WIN$,17h00 + Intra Var < -0.1,Long,WIN$ - 17h00 + Intra Var lt -0.1 - Long,554.0,245.0,309.0,-35707.00000000003,-64.45306859205782,1436.0,295.34285714285693,-349.7281553398057,-3583.0
M20,WIN$,17h00 + Intra Var < -0.1,Short,WIN$ - 17h00 + Intra Var lt -0.1 - Short,554.0,309.0,245.0,35707.0,64.45306859205776,3583.0,349.7281553398058,-295.34285714285716,-1436.0
M20,WIN$,17h00 + Intra Var > 0.0,Long,WIN$ - 17h00 + Intra Var gt 0.0 - Long,638.0,359.0,279.0,14396.000000000015,22.564263322884035,1827.0,288.20612813370474,-319.24731182795693,-1891.0
M20,WIN$,17h00 + Intra Var > 0.0,Short,WIN$ - 17h00 + Intra Var gt 0.0 - Short,638.0,288.0,350.0,-14396.000000000058,-22.564263322884102,1891.0,309.2708333333332,-295.6171428571429,-1827.0
M20,WIN$,17h00 + Intra Var < 0.0,Long,WIN$ - 17h00 + Intra Var lt 0.0 - Long,603.0,275.0,328.0,-28356.999999999927,-47.02653399668313,1436.0,303.4290909090911,-340.85365853658527,-3583.0
M20,WIN$,17h00 + Intra Var < 0.0,Short,WIN$ - 17h00 + Intra Var lt 0.0 - Short,603.0,328.0,275.0,28357.000000000015,47.02653399668328,3583.0,340.8536585365854,-303.42909090909086,-1436.0
M20,WIN$,17h00 + Intra Var > 0.1,Long,WIN$ - 17h00 + Intra Var gt 0.1 - Long,590.0,333.0,257.0,16562.0,28.071186440677966,1827.0,294.2522522522523,-316.8249027237354,-1891.0
M20,WIN$,17h00 + Intra Var > 0.1,Short,WIN$ - 17h00 + Intra Var gt 0.1 - Short,590.0,265.0,325.0,-16562.0,-28.071186440677966,1891.0,307.26037735849053,-301.4953846153846,-1827.0
M20,WIN$,17h00 + Intra Var < 0.1,Long,WIN$ - 17h00 + Intra Var lt 0.1 - Long,655.0,303.0,352.0,-30052.999999999884,-45.88244274809143,1436.0,295.53135313531374,-339.7698863636362,-3583.0
M20,WIN$,17h00 + Intra Var < 0.1,Short,WIN$ - 17h00 + Intra Var lt 0.1 - Short,655.0,353.0,302.0,30052.99999999997,45.882442748091556,3583.0,338.8073654390934,-296.5099337748345,-1436.0
M20,WIN$,17h00 + Intra Var > 0.3,Long,WIN$ - 17h00 + Intra Var gt 0.3 - Long,486.0,267.0,219.0,7879.0,16.2119341563786,1827.0,303.61048689138585,-334.1780821917809,-1891.0
M20,WIN$,17h00 + Intra Var > 0.3,Short,WIN$ - 17h00 + Intra Var gt 0.3 - Short,486.0,226.0,260.0,-7879.000000000015,-16.211934156378632,1891.0,323.8274336283186,-311.78461538461545,-1827.0
M20,WIN$,17h00 + Intra Var < 0.3,Long,WIN$ - 17h00 + Intra Var lt 0.3 - Long,759.0,369.0,390.0,-21370.0,-28.155467720685113,1436.0,288.531165311653,-327.7897435897435,-3583.0
M20,WIN$,17h00 + Intra Var < 0.3,Short,WIN$ - 17h00 + Intra Var lt 0.3 - Short,759.0,392.0,367.0,21369.99999999997,28.155467720685074,3583.0,326.1173469387754,-290.10354223433245,-1436.0
M20,WIN$,17h00 + Intra Var > 0.5,Long,WIN$ - 17h00 + Intra Var gt 0.5 - Long,395.0,223.0,172.0,9543.99999999997,24.162025316455622,1827.0,309.5829596412556,-345.8895348837211,-1891.0
M20,WIN$,17h00 + Intra Var > 0.5,Short,WIN$ - 17h00 + Intra Var gt 0.5 - Short,395.0,178.0,217.0,-9544.00000000003,-24.162025316455768,1891.0,334.2303370786517,-318.1428571428573,-1827.0
M20,WIN$,17h00 + Intra Var < 0.5,Long,WIN$ - 17h00 + Intra Var lt 0.5 - Long,850.0,413.0,437.0,-23034.999999999884,-27.099999999999863,1748.0,286.91283292978244,-323.8672768878719,-3583.0
M20,WIN$,17h00 + Intra Var < 0.5,Short,WIN$ - 17h00 + Intra Var lt 0.5 - Short,850.0,440.0,410.0,23035.000000000044,27.10000000000005,3583.0,321.65909090909093,-289.01219512195115,-1748.0
M20,WIN$,17h00 + Intra Var > 1.0,Long,WIN$ - 17h00 + Intra Var gt 1.0 - Long,212.0,127.0,85.0,14877.000000000015,70.17452830188687,1827.0,352.90551181102364,-352.2588235294116,-1779.0
M20,WIN$,17h00 + Intra Var > 1.0,Short,WIN$ - 17h00 + Intra Var gt 1.0 - Short,212.0,90.0,122.0,-14876.99999999997,-70.17452830188665,1779.0,332.6888888888892,-367.3688524590164,-1827.0
M20,WIN$,17h00 + Intra Var < 1.0,Long,WIN$ - 17h00 + Intra Var lt 1.0 - Long,1033.0,509.0,524.0,-28367.999999999913,-27.461761858664,1748.0,280.37917485265234,-326.49045801526705,-3583.0
M20,WIN$,17h00 + Intra Var < 1.0,Short,WIN$ - 17h00 + Intra Var lt 1.0 - Short,1033.0,528.0,505.0,28368.0,27.461761858664087,3583.0,324.0170454545454,-282.59999999999997,-1748.0
M20,WIN$,17h00 + Intra Var > 3.0,Long,WIN$ - 17h00 + Intra Var gt 3.0 - Long,5.0,3.0,2.0,1058.9999999999854,211.79999999999708,899.0,593.3333333333334,-360.5000000000073,-527.0
M20,WIN$,17h00 + Intra Var > 3.0,Short,WIN$ - 17h00 + Intra Var gt 3.0 - Short,5.0,2.0,3.0,-1059.0,-211.8,527.0,360.5,-593.3333333333334,-899.0
M20,WIN$,17h00 + Intra Var < 3.0,Long,WIN$ - 17h00 + Intra Var lt 3.0 - Long,1240.0,633.0,607.0,-14549.999999999927,-11.733870967741877,1827.0,293.44707740916283,-329.98682042833605,-3583.0
M20,WIN$,17h00 + Intra Var < 3.0,Short,WIN$ - 17h00 + Intra Var lt 3.0 - Short,1240.0,616.0,624.0,14550.000000000044,11.733870967741971,3583.0,325.16558441558453,-297.6794871794872,-1827.0
M20,WIN$,17h00 + Intra Var > 5.0,Long,WIN$ - 17h00 + Intra Var gt 5.0 - Long,0.0,0.0,0.0,0.0,,,,,
M20,WIN$,17h00 + Intra Var > 5.0,Short,WIN$ - 17h00 + Intra Var gt 5.0 - Short,0.0,0.0,0.0,0.0,,,,,
M20,WIN$,17h00 + Intra Var < 5.0,Long,WIN$ - 17h00 + Intra Var lt 5.0 - Long,1245.0,636.0,609.0,-13490.999999999942,-10.836144578313206,1827.0,294.8616352201259,-330.0870279146141,-3583.0
M20,WIN$,17h00 + Intra Var < 5.0,Short,WIN$ - 17h00 + Intra Var lt 5.0 - Short,1245.0,618.0,627.0,13491.000000000015,10.836144578313265,3583.0,325.27993527508096,-299.09409888357254,-1827.0
M20,WDO$,17h00 + Intra Var > -5.0,Long,WDO$ - 17h00 + Intra Var gt -5.0 - Long,1245.0,657.0,588.0,493.4949999999926,0.39638152610441174,106.07999999999993,9.368452054794526,-9.628534013605462,-54.55500000000029
M20,WDO$,17h00 + Intra Var > -5.0,Short,WDO$ - 17h00 + Intra Var gt -5.0 - Short,1245.0,622.0,623.0,-493.4949999999899,-0.3963815261044095,54.55500000000029,9.102215434083622,-9.879731942215093,-106.07999999999902
M20,WDO$,17h00 + Intra Var < -5.0,Long,WDO$ - 17h00 + Intra Var lt -5.0 - Long,0.0,0.0,0.0,0.0,,,,,
M20,WDO$,17h00 + Intra Var < -5.0,Short,WDO$ - 17h00 + Intra Var lt -5.0 - Short,0.0,0.0,0.0,0.0,,,,,
M20,WDO$,17h00 + Intra Var > -3.0,Long,WDO$ - 17h00 + Intra Var gt -3.0 - Long,1242.0,655.0,587.0,472.7169999999933,0.38060950080514755,106.07999999999993,9.321244274809168,-9.595737649063052,-54.55500000000029
M20,WDO$,17h00 + Intra Var > -3.0,Short,WDO$ - 17h00 + Intra Var gt -3.0 - Short,1242.0,621.0,621.0,-472.71699999999055,-0.3806095008051454,54.55500000000029,9.070367149758475,-9.831586151368766,-106.07999999999902
M20,WDO$,17h00 + Intra Var < -3.0,Long,WDO$ - 17h00 + Intra Var lt -3.0 - Long,3.0,2.0,1.0,20.777999999999338,6.925999999999779,30.706999999999425,24.828999999999724,-28.88000000000011,-28.88000000000011
M20,WDO$,17h00 + Intra Var < -3.0,Short,WDO$ - 17h00 + Intra Var lt -3.0 - Short,3.0,1.0,2.0,-20.777999999999338,-6.925999999999779,28.88000000000011,28.88000000000011,-24.828999999999724,-30.706999999999425
M20,WDO$,17h00 + Intra Var > -1.0,Long,WDO$ - 17h00 + Intra Var gt -1.0 - Long,1104.0,602.0,502.0,815.1619999999957,0.7383713768115904,106.07999999999993,9.087514950166122,-9.273948207171335,-54.55500000000029
M20,WDO$,17h00 + Intra Var > -1.0,Short,WDO$ - 17h00 + Intra Var gt -1.0 - Short,1104.0,535.0,569.0,-815.1619999999957,-0.7383713768115904,54.55500000000029,8.701910280373852,-9.614558875219695,-106.07999999999993
M20,WDO$,17h00 + Intra Var < -1.0,Long,WDO$ - 17h00 + Intra Var lt -1.0 - Long,141.0,55.0,86.0,-321.667000000004,-2.28132624113478,39.23099999999977,12.443436363636334,-11.698325581395375,-50.539999999999964
M20,WDO$,17h00 + Intra Var < -1.0,Short,WDO$ - 17h00 + Intra Var lt -1.0 - Short,141.0,87.0,54.0,321.667000000004,2.28132624113478,50.539999999999964,11.563862068965545,-12.67387037037034,-39.23099999999977
M20,WDO$,17h00 + Intra Var > -0.5,Long,WDO$ - 17h00 + Intra Var gt -0.5 - Long,907.0,502.0,405.0,830.7830000000022,0.9159680264608624,106.07999999999993,9.441033864541845,-9.650903703703715,-54.55500000000029
M20,WDO$,17h00 + Intra Var > -0.5,Short,WDO$ - 17h00 + Intra Var gt -0.5 - Short,907.0,433.0,474.0,-830.7830000000004,-0.9159680264608604,54.55500000000029,9.02682678983835,-9.998732067510561,-106.07999999999902
M20,WDO$,17h00 + Intra Var < -0.5,Long,WDO$ - 17h00 + Intra Var lt -0.5 - Long,338.0,155.0,183.0,-337.28800000001047,-0.9978934911242914,39.23099999999977,9.133380645161273,-9.579027322404414,-50.539999999999964
M20,WDO$,17h00 + Intra Var < -0.5,Short,WDO$ - 17h00 + Intra Var lt -0.5 - Short,338.0,189.0,149.0,337.2880000000114,0.997893491124294,50.539999999999964,9.274931216931257,-9.501167785234875,-39.23099999999977
M20,WDO$,17h00 + Intra Var > -0.3,Long,WDO$ - 17h00 + Intra Var gt -0.3 - Long,800.0,447.0,353.0,853.786000000001,1.0672325000000011,106.07999999999993,9.42722147651008,-9.51892917847027,-54.55500000000029
M20,WDO$,17h00 + Intra Var > -0.3,Short,WDO$ - 17h00 + Intra Var gt -0.3 - Short,800.0,376.0,424.0,-853.7860000000001,-1.0672325,54.55500000000029,8.936654255319167,-9.938603773584923,-106.07999999999993
M20,WDO$,17h00 + Intra Var < -0.3,Long,WDO$ - 17h00 + Intra Var lt -0.3 - Long,445.0,210.0,235.0,-360.29100000000926,-0.8096426966292343,44.909999999999854,9.243357142857132,-9.793174468085136,-52.39300000000003
M20,WDO$,17h00 + Intra Var < -0.3,Short,WDO$ - 17h00 + Intra Var lt -0.3 - Short,445.0,245.0,200.0,360.29100000000926,0.8096426966292343,52.39300000000003,9.393453061224518,-9.705524999999989,-44.909999999999854
M20,WDO$,17h00 + Intra Var > -0.1,Long,WDO$ - 17h00 + Intra Var gt -0.1 - Long,680.0,394.0,286.0,1030.6349999999966,1.5156397058823479,106.07999999999993,9.670345177664986,-9.718465034965062,-54.55500000000029
M20,WDO$,17h00 + Intra Var > -0.1,Short,WDO$ - 17h00 + Intra Var gt -0.1 - Short,680.0,310.0,370.0,-1030.6349999999975,-1.5156397058823492,54.55500000000029,8.96606774193551,-10.297610810810825,-106.08000000000084
M20,WDO$,17h00 + Intra Var < -0.1,Long,WDO$ - 17h00 + Intra Var lt -0.1 - Long,565.0,263.0,302.0,-537.1400000000049,-0.9506902654867343,44.909999999999854,8.91618631178707,-9.543367549668888,-52.39300000000003
M20,WDO$,17h00 + Intra Var < -0.1,Short,WDO$ - 17h00 + Intra Var lt -0.1 - Short,565.0,312.0,253.0,537.1400000000049,0.9506902654867343,52.39300000000003,9.237490384615398,-9.268604743083001,-44.909999999999854
M20,WDO$,17h00 + Intra Var > 0.0,Long,WDO$ - 17h00 + Intra Var gt 0.0 - Long,628.0,367.0,261.0,1061.0809999999938,1.6896194267515825,106.07999999999993,9.812893732970041,-9.732762452107321,-54.55500000000029
M20,WDO$,17h00 + Intra Var > 0.0,Short,WDO$ - 17h00 + Intra Var gt 0.0 - Short,628.0,283.0,345.0,-1061.0809999999929,-1.689619426751581,54.55500000000029,8.97615194346294,-10.438643478260884,-106.07999999999993
M20,WDO$,17h00 + Intra Var < 0.0,Long,WDO$ - 17h00 + Intra Var lt 0.0 - Long,609.0,286.0,323.0,-584.7610000000032,-0.9601986863711054,44.909999999999854,8.790748251748248,-9.594164086687313,-52.39300000000003
M20,WDO$,17h00 + Intra Var < 0.0,Short,WDO$ - 17h00 + Intra Var lt 0.0 - Short,609.0,334.0,275.0,584.7610000000032,0.9601986863711054,52.39300000000003,9.278188622754493,-9.142378181818174,-44.909999999999854
M20,WDO$,17h00 + Intra Var > 0.1,Long,WDO$ - 17h00 + Intra Var gt 0.1 - Long,559.0,326.0,233.0,908.460999999992,1.625153846153832,106.07999999999993,9.915601226993873,-9.974356223176011,-54.55500000000029
M20,WDO$,17h00 + Intra Var > 0.1,Short,WDO$ - 17h00 + Intra Var gt 0.1 - Short,559.0,254.0,305.0,-908.460999999992,-1.625153846153832,54.55500000000029,9.14970472440949,-10.59831475409837,-106.07999999999993
M20,WDO$,17h00 + Intra Var < 0.1,Long,WDO$ - 17h00 + Intra Var lt 0.1 - Long,686.0,331.0,355.0,-414.96600000000035,-0.6049067055393591,44.909999999999854,8.82956797583082,-9.401557746478877,-52.39300000000003
M20,WDO$,17h00 + Intra Var < 0.1,Short,WDO$ - 17h00 + Intra Var lt 0.1 - Short,686.0,368.0,318.0,414.96600000000035,0.6049067055393591,52.39300000000003,9.069437500000005,-9.190525157232708,-44.909999999999854
M20,WDO$,17h00 + Intra Var > 0.3,Long,WDO$ - 17h00 + Intra Var gt 0.3 - Long,416.0,251.0,165.0,739.1779999999944,1.7768701923076788,106.07999999999993,9.897446215139457,-10.576248484848541,-54.55500000000029
M20,WDO$,17h00 + Intra Var > 0.3,Short,WDO$ - 17h00 + Intra Var gt 0.3 - Short,416.0,179.0,237.0,-739.1779999999935,-1.7768701923076766,54.55500000000029,9.749055865921845,-10.482105485232083,-106.07999999999993
M20,WDO$,17h00 + Intra Var < 0.3,Long,WDO$ - 17h00 + Intra Var lt 0.3 - Long,829.0,406.0,423.0,-245.68300000000272,-0.29636067551266915,104.63299999999981,9.041413793103448,-9.258858156028376,-52.39300000000003
M20,WDO$,17h00 + Intra Var < 0.3,Short,WDO$ - 17h00 + Intra Var lt 0.3 - Short,829.0,443.0,386.0,245.68300000000272,0.29636067551266915,52.39300000000003,8.840851015801361,-9.509880829015545,-104.63299999999981
M20,WDO$,17h00 + Intra Var > 0.5,Long,WDO$ - 17h00 + Intra Var gt 0.5 - Long,324.0,199.0,125.0,827.3269999999966,2.5534783950617177,106.07999999999993,10.894070351758817,-10.724744000000065,-54.55500000000029
M20,WDO$,17h00 + Intra Var > 0.5,Short,WDO$ - 17h00 + Intra Var gt 0.5 - Short,324.0,134.0,190.0,-827.3269999999966,-2.5534783950617177,54.55500000000029,10.004425373134389,-11.410105263157918,-106.07999999999993
M20,WDO$,17h00 + Intra Var < 0.5,Long,WDO$ - 17h00 + Intra Var lt 0.5 - Long,921.0,458.0,463.0,-333.832000000004,-0.362466883821937,104.63299999999981,8.70557423580786,-9.332580993520528,-52.39300000000003
M20,WDO$,17h00 + Intra Var < 0.5,Short,WDO$ - 17h00 + Intra Var lt 0.5 - Short,921.0,488.0,433.0,333.8320000000049,0.362466883821938,52.39300000000003,8.854477459016403,-9.208205542725171,-104.63299999999981
M20,WDO$,17h00 + Intra Var > 1.0,Long,WDO$ - 17h00 + Intra Var gt 1.0 - Long,156.0,102.0,54.0,664.8740000000007,4.262012820512825,42.76000000000022,13.167480392156895,-12.559425925925973,-54.55500000000029
M20,WDO$,17h00 + Intra Var > 1.0,Short,WDO$ - 17h00 + Intra Var gt 1.0 - Short,156.0,58.0,98.0,-664.8739999999998,-4.262012820512819,54.55500000000029,11.693258620689715,-13.704928571428605,-42.76000000000022
M20,WDO$,17h00 + Intra Var < 1.0,Long,WDO$ - 17h00 + Intra Var lt 1.0 - Long,1089.0,555.0,534.0,-171.379000000009,-0.1573728191001001,106.07999999999993,8.670252252252254,-9.332151685393276,-52.39300000000003
M20,WDO$,17h00 + Intra Var < 1.0,Short,WDO$ - 17h00 + Intra Var lt 1.0 - Short,1089.0,564.0,525.0,171.3790000000099,0.15737281910010092,52.39300000000003,8.83576063829789,-9.165695238095237,-106.07999999999993
M20,WDO$,17h00 + Intra Var > 3.0,Long,WDO$ - 17h00 + Intra Var gt 3.0 - Long,0.0,0.0,0.0,0.0,,,,,
M20,WDO$,17h00 + Intra Var > 3.0,Short,WDO$ - 17h00 + Intra Var gt 3.0 - Short,0.0,0.0,0.0,0.0,,,,,
M20,WDO$,17h00 + Intra Var < 3.0,Long,WDO$ - 17h00 + Intra Var lt 3.0 - Long,1245.0,657.0,588.0,493.4949999999926,0.39638152610441174,106.07999999999993,9.368452054794526,-9.628534013605462,-54.55500000000029
M20,WDO$,17h00 + Intra Var < 3.0,Short,WDO$ - 17h00 + Intra Var lt 3.0 - Short,1245.0,622.0,623.0,-493.4949999999899,-0.3963815261044095,54.55500000000029,9.102215434083622,-9.879731942215093,-106.07999999999902
M20,WDO$,17h00 + Intra Var > 5.0,Long,WDO$ - 17h00 + Intra Var gt 5.0 - Long,0.0,0.0,0.0,0.0,,,,,
M20,WDO$,17h00 + Intra Var > 5.0,Short,WDO$ - 17h00 + Intra Var gt 5.0 - Short,0.0,0.0,0.0,0.0,,,,,
M20,WDO$,17h00 + Intra Var < 5.0,Long,WDO$ - 17h00 + Intra Var lt 5.0 - Long,1245.0,657.0,588.0,493.4949999999926,0.39638152610441174,106.07999999999993,9.368452054794526,-9.628534013605462,-54.55500000000029
M20,WDO$,17h00 + Intra Var < 5.0,Short,WDO$ - 17h00 + Intra Var lt 5.0 - Short,1245.0,622.0,623.0,-493.4949999999899,-0.3963815261044095,54.55500000000029,9.102215434083622,-9.879731942215093,-106.07999999999902
