"Date","Price","Open","High","Low","Vol.","Change %"
"07/22/2025","136,080","135,675","136,365","135,600","7.70M","0.69%"
"07/21/2025","135,145","134,140","136,050","134,040","12.49M","0.48%"
"07/18/2025","134,502","136,565","136,640","134,310","14.21M","-1.74%"
"07/17/2025","136,886","136,210","137,065","135,635","13.36M","-0.01%"
"07/16/2025","136,903","136,640","137,280","135,525","15.16M","0.13%"
"07/15/2025","136,731","136,880","137,535","135,650","14.46M","-0.01%"
"07/14/2025","136,748","137,370","137,720","136,225","12.50M","-0.76%"
"07/11/2025","137,801","138,100","138,255","137,005","13.12M","-0.37%"
"07/10/2025","138,319","137,320","138,875","136,755","14.22M","-0.59%"
"07/09/2025","139,145","141,280","141,340","137,155","14.62M","-1.36%"
"07/08/2025","141,064","141,670","141,895","140,530","14.85M","-0.23%"
"07/07/2025","141,391","143,360","143,415","141,145","14.43M","-1.33%"
"07/04/2025","143,297","142,675","143,825","142,415","9.21M","0.11%"
"07/03/2025","143,138","141,160","143,445","140,865","13.69M","1.43%"
"07/02/2025","141,122","141,830","142,200","140,400","16.12M","-0.48%"
"07/01/2025","141,800","140,900","141,950","140,725","13.40M","0.42%"
"06/30/2025","141,203","139,250","141,450","138,025","13.57M","1.50%"
"06/27/2025","139,110","139,600","139,740","138,300","12.89M","-0.23%"
"06/26/2025","139,433","138,635","139,750","138,325","13.19M","0.94%"
"06/25/2025","138,133","139,300","139,385","137,735","13.45M","-1.07%"
"06/24/2025","139,633","139,860","140,670","138,640","13.39M","0.37%"
"06/23/2025","139,122","139,695","139,945","138,320","13.20M","-0.36%"
"06/20/2025","139,621","141,580","141,745","139,305","11.95M","0.57%"
"06/18/2025","138,833","138,905","139,240","138,280","1.47M","-0.04%"
"06/17/2025","138,894","139,650","139,795","138,280","13.35M","-0.46%"
"06/16/2025","139,537","137,600","140,265","137,550","13.46M","1.58%"
"06/13/2025","137,372","137,385","137,950","136,660","14.39M","-0.49%"
"06/12/2025","138,048","136,830","138,245","136,020","13.90M","0.45%"
"06/11/2025","137,431","137,020","137,950","135,710","14.59M","0.41%"
"06/10/2025","136,869","136,780","137,885","136,500","14.34M","0.49%"
"06/09/2025","136,202","136,775","137,200","134,520","12.93M","-0.42%"
"06/06/2025","136,772","137,400","137,535","136,150","13.16M","-0.03%"
"06/05/2025","136,819","138,010","138,250","136,570","13.74M","-0.58%"
"06/04/2025","137,622","138,650","139,550","137,440","12.50M","-0.49%"
"06/03/2025","138,295","137,525","138,575","136,845","11.29M","0.54%"
"06/02/2025","137,558","138,110","139,570","137,240","12.78M","-0.52%"
"05/30/2025","138,280","139,600","140,045","137,535","13.06M","-0.94%"
"05/29/2025","139,588","140,600","140,600","138,835","13.25M","-0.32%"
"05/28/2025","140,030","140,795","141,080","139,565","10.64M","-0.49%"
"05/27/2025","140,726","140,020","141,625","140,020","12.99M","1.00%"
"05/26/2025","139,336","139,200","139,965","138,715","10.77M","0.27%"
"05/23/2025","138,954","136,440","139,205","135,960","14.58M","0.38%"
"05/22/2025","138,432","139,065","140,150","135,175","16.36M","-0.45%"
"05/21/2025","139,060","141,270","141,515","138,790","13.98M","-1.74%"
"05/20/2025","141,527","141,300","141,730","140,390","12.24M","0.30%"
"05/19/2025","141,107","140,000","141,740","139,895","13.49M","0.29%"
"05/16/2025","140,692","140,770","140,850","139,120","13.26M","-0.25%"
"05/15/2025","141,039","139,775","141,170","139,570","13.05M","0.69%"
"05/14/2025","140,072","140,555","141,030","139,925","13.02M","-0.51%"
"05/13/2025","140,788","138,700","141,360","138,325","13.57M","1.71%"
"05/12/2025","138,426","140,305","140,310","138,060","12.52M","0.13%"
"05/09/2025","138,250","138,800","139,070","137,905","12.76M","0.02%"
"05/08/2025","138,221","136,400","139,620","136,380","15.29M","2.18%"
"05/07/2025","135,278","136,000","136,500","134,675","15.32M","-0.15%"
"05/06/2025","135,480","135,300","136,220","135,160","13.23M","-0.02%"
"05/05/2025","135,501","136,975","137,460","135,300","12.63M","-1.13%"
"05/02/2025","137,047","137,240","137,555","136,380","13.25M","-0.07%"
"04/30/2025","137,146","137,155","137,640","136,115","15.63M","-0.19%"
"04/29/2025","137,401","137,265","138,465","137,145","12.71M","0.09%"
"04/28/2025","137,272","136,890","138,070","136,840","12.69M","0.12%"
"04/25/2025","137,107","136,745","137,430","136,500","13.53M","0.08%"
"04/24/2025","136,991","134,785","137,390","134,675","14.97M","1.67%"
"04/23/2025","134,739","134,125","135,770","134,110","15.27M","1.32%"
"04/22/2025","132,987","132,140","133,335","130,940","14.82M","0.76%"
"04/17/2025","131,984","130,855","132,600","130,270","14.55M","2.45%"
"04/16/2025","128,827","129,240","129,600","128,095","1.88M","-0.35%"
"04/15/2025","129,274","129,450","129,995","128,950","14.53M","-0.25%"
"04/14/2025","129,592","128,600","130,125","128,425","16.68M","1.36%"
"04/11/2025","127,850","127,080","128,540","126,100","16.04M","0.97%"
"04/10/2025","126,626","127,145","128,245","125,060","18.18M","-1.03%"
"04/09/2025","127,950","123,015","129,960","122,560","20.28M","2.95%"
"04/08/2025","124,283","127,300","127,980","123,645","18.96M","-1.31%"
"04/07/2025","125,932","125,650","129,025","124,225","20.56M","-1.30%"
"04/04/2025","127,594","129,700","129,900","126,825","16.43M","-3.11%"
"04/03/2025","131,691","130,340","133,130","130,205","15.94M","-0.20%"
"04/02/2025","131,958","131,525","133,410","130,760","15.00M","0.15%"
"04/01/2025","131,765","131,130","132,665","130,625","13.94M","0.60%"
"03/31/2025","130,983","131,935","132,170","130,805","12.94M","-1.27%"
"03/28/2025","132,673","133,745","133,800","132,030","13.63M","-0.95%"
"03/27/2025","133,952","133,680","134,640","133,240","13.26M","0.32%"
"03/26/2025","133,526","133,180","133,875","133,000","13.18M","0.35%"
"03/25/2025","133,054","132,200","134,455","132,090","13.03M","0.52%"
"03/24/2025","132,364","133,900","134,145","131,925","13.03M","-0.80%"
"03/21/2025","133,435","132,950","133,735","132,615","12.48M","0.18%"
"03/20/2025","133,199","133,590","133,955","132,895","12.52M","-0.52%"
"03/19/2025","133,896","132,540","134,455","132,530","12.66M","0.86%"
"03/18/2025","132,751","131,865","133,160","131,490","13.04M","0.41%"
"03/17/2025","132,210","130,085","132,685","129,890","12.28M","1.44%"
"03/14/2025","130,328","127,420","130,550","127,355","12.85M","2.57%"
"03/13/2025","127,057","124,825","127,165","124,655","12.75M","1.48%"
"03/12/2025","125,198","125,300","125,775","124,360","14.31M","0.26%"
"03/11/2025","124,879","126,260","126,325","123,965","15.17M","-0.84%"
"03/10/2025","125,935","126,050","126,355","124,895","15.12M","-0.59%"
"03/07/2025","126,677","125,155","127,460","123,705","14.97M","1.39%"
"03/06/2025","124,937","124,490","125,810","124,220","14.95M","0.16%"
"03/05/2025","124,739","125,190","125,300","124,425","6.14M","0.11%"
"02/28/2025","124,597","126,390","126,645","124,295","12.45M","-1.47%"
"02/27/2025","126,453","126,100","127,305","125,850","12.22M","-0.11%"
"02/26/2025","126,597","128,320","129,135","126,555","12.56M","-1.05%"
"02/25/2025","127,944","127,620","128,750","127,540","12.65M","0.46%"
"02/24/2025","127,354","129,435","129,775","127,065","12.50M","-1.42%"
"02/21/2025","129,193","129,520","129,750","128,445","10.72M","-0.37%"
"02/20/2025","129,672","129,700","130,000","129,095","10.95M","0.18%"
"02/19/2025","129,435","130,600","130,620","129,150","11.11M","-0.91%"
"02/18/2025","130,625","131,300","131,610","130,295","12.08M","-0.23%"
"02/17/2025","130,921","130,450","131,940","130,420","10.33M","0.25%"
"02/14/2025","130,599","127,020","130,940","126,995","12.24M","2.65%"
"02/13/2025","127,231","126,930","127,230","126,035","11.70M","2.16%"
"02/12/2025","124,540","126,650","126,890","124,090","1.66M","-1.64%"
"02/11/2025","126,620","125,750","127,000","125,565","10.47M","0.67%"
"02/10/2025","125,781","125,100","126,490","124,860","11.14M","0.80%"
"02/07/2025","124,786","126,385","126,745","124,320","12.71M","-1.31%"
"02/06/2025","126,446","125,950","126,645","125,400","11.94M","0.50%"
"02/05/2025","125,813","125,550","126,120","124,845","11.38M","0.31%"
"02/04/2025","125,423","126,500","126,535","124,965","11.75M","-0.64%"
"02/03/2025","126,227","125,715","126,900","125,465","12.45M","-0.35%"
"01/31/2025","126,665","127,310","128,015","126,505","12.14M","-0.63%"
"01/30/2025","127,465","124,450","127,740","124,245","14.56M","2.90%"
"01/29/2025","123,869","124,860","125,535","123,750","11.46M","-0.56%"
"01/28/2025","124,571","125,250","125,605","124,485","11.00M","-0.76%"
"01/27/2025","125,530","122,350","125,495","122,190","13.28M","1.94%"
"01/24/2025","123,147","123,350","123,565","122,790","10.22M","0.01%"
"01/23/2025","123,136","123,800","124,730","122,830","13.23M","-0.47%"
"01/22/2025","123,719","124,230","124,770","123,640","11.87M","-0.34%"
"01/21/2025","124,142","123,440","124,310","122,875","11.82M","0.32%"
"01/20/2025","123,740","122,910","124,060","122,245","12.54M","0.53%"
"01/17/2025","123,089","122,565","123,555","121,810","12.86M","0.86%"
"01/16/2025","122,045","123,150","123,420","121,595","12.89M","-1.32%"
"01/15/2025","123,673","120,270","123,960","120,270","14.32M","2.83%"
"01/14/2025","120,272","120,230","120,510","119,055","13.22M","0.28%"
"01/13/2025","119,932","119,785","120,650","119,565","11.58M","0.04%"
"01/10/2025","119,890","121,110","121,420","119,655","11.81M","-0.79%"
"01/09/2025","120,843","120,775","121,150","120,475","10.69M","0.17%"
"01/08/2025","120,643","122,200","122,350","120,370","12.38M","-1.41%"
"01/07/2025","122,368","121,060","122,855","120,915","13.38M","1.08%"
"01/06/2025","121,058","119,925","121,470","119,825","12.93M","1.21%"
"01/03/2025","119,615","121,265","121,565","119,535","11.35M","-1.47%"
"01/02/2025","121,401","121,790","122,375","120,300","12.04M","-0.14%"
"12/30/2024","121,576","121,505","122,410","121,410","10.01M","0.12%"
"12/27/2024","121,433","122,505","123,075","121,355","10.67M","-0.93%"
"12/26/2024","122,572","122,205","123,110","121,660","10.63M","0.20%"
"12/23/2024","122,326","123,450","123,570","122,210","10.17M","-1.13%"
"12/20/2024","123,723","122,600","123,955","122,370","12.64M","0.56%"
"12/19/2024","123,033","123,850","123,905","122,800","14.53M","1.11%"
"12/18/2024","121,677","124,900","125,155","121,620","1.62M","-2.65%"
"12/17/2024","124,990","123,525","125,430","123,495","16.63M","1.10%"
"12/16/2024","123,629","124,810","125,020","123,510","12.94M","-0.90%"
"12/13/2024","124,757","126,305","126,550","124,590","14.05M","-1.12%"
"12/12/2024","126,175","130,260","130,480","125,950","17.44M","-2.83%"
"12/11/2024","129,846","128,260","131,290","127,525","17.25M","1.07%"
"12/10/2024","128,477","128,260","128,750","127,860","13.90M","0.79%"
"12/09/2024","127,472","126,740","127,770","126,505","12.30M","1.12%"
"12/06/2024","126,062","127,965","128,015","125,985","14.74M","-1.68%"
"12/05/2024","128,216","126,640","128,395","126,270","14.67M","1.40%"
"12/04/2024","126,443","126,335","127,140","125,980","14.80M","0.02%"
"12/03/2024","126,420","126,155","126,825","125,700","15.76M","0.61%"
"12/02/2024","125,651","126,310","126,390","125,100","16.06M","-0.46%"
"11/29/2024","126,233","125,645","126,675","124,405","16.42M","0.84%"
"11/28/2024","125,178","128,250","128,250","124,785","14.24M","-2.29%"
"11/27/2024","128,116","130,600","130,915","127,875","18.25M","-1.99%"
"11/26/2024","130,723","129,450","130,995","129,310","14.83M","0.78%"
"11/25/2024","129,716","130,295","130,330","129,575","13.93M","-0.31%"
"11/22/2024","130,115","127,760","130,170","127,685","16.00M","1.84%"
"11/21/2024","127,767","128,900","129,165","127,350","16.47M","-1.11%"
"11/19/2024","129,195","128,390","129,480","128,045","15.01M","0.37%"
"11/18/2024","128,723","128,850","129,295","128,105","13.85M","0.04%"
"11/14/2024","128,667","129,065","129,440","128,350","14.89M","-0.09%"
"11/13/2024","128,780","128,800","129,225","127,820","17.02M","0.05%"
"11/12/2024","128,712","128,520","129,250","128,230","14.97M","-0.17%"
"11/11/2024","128,926","128,450","129,215","128,230","15.35M","-0.01%"
"11/08/2024","128,941","130,100","130,340","128,025","17.78M","-1.52%"
"11/07/2024","130,931","131,150","132,665","130,605","18.64M","-0.50%"
"11/06/2024","131,595","130,655","132,020","129,780","18.73M","-0.40%"
"11/05/2024","132,128","131,925","132,265","131,130","14.33M","0.05%"
"11/04/2024","132,061","130,000","132,170","130,000","15.12M","1.94%"
"11/01/2024","129,545","131,465","131,635","129,455","13.16M","-1.37%"
"10/31/2024","131,341","131,940","132,335","131,215","13.37M","-0.75%"
"10/30/2024","132,340","132,250","132,715","131,885","12.73M","-0.11%"
"10/29/2024","132,480","133,125","133,485","132,355","15.23M","-0.41%"
"10/28/2024","133,031","131,600","133,240","131,355","13.60M","0.97%"
"10/25/2024","131,748","132,300","132,360","131,510","14.35M","-0.16%"
"10/24/2024","131,956","131,315","132,040","130,610","15.88M","0.68%"
"10/23/2024","131,059","131,510","131,530","130,430","15.89M","-0.63%"
"10/22/2024","131,896","132,050","132,135","130,960","16.89M","-0.37%"
"10/21/2024","132,382","132,140","133,115","132,010","14.65M","-0.19%"
"10/18/2024","132,631","133,470","133,820","132,120","13.47M","-0.19%"
"10/17/2024","132,885","133,340","133,430","131,940","13.33M","0.78%"
"10/16/2024","131,857","130,930","132,100","130,765","2.09M","0.67%"
"10/15/2024","130,979","130,610","131,330","130,205","14.32M","-0.12%"
"10/14/2024","131,131","130,100","131,270","129,420","15.30M","0.79%"
"10/11/2024","130,105","130,340","130,945","129,375","12.82M","-0.34%"
"10/10/2024","130,547","130,240","130,635","129,895","12.38M","0.33%"
"10/09/2024","130,116","131,750","131,825","129,860","15.33M","-1.21%"
"10/08/2024","131,710","131,385","131,935","130,600","15.82M","-0.41%"
"10/07/2024","132,247","131,910","133,350","131,850","14.58M","0.05%"
"10/04/2024","132,176","132,150","132,600","131,335","14.14M","0.11%"
"10/03/2024","132,037","133,875","133,940","131,540","17.62M","-1.50%"
"10/02/2024","134,043","133,720","135,480","133,645","16.24M","0.75%"
"10/01/2024","133,047","132,445","133,990","132,370","18.21M","0.35%"
"09/30/2024","132,581","133,715","134,195","132,465","12.02M","-0.57%"
"09/27/2024","133,339","133,600","134,595","133,105","13.61M","-0.26%"
"09/26/2024","133,682","133,300","134,000","132,745","14.50M","1.07%"
"09/25/2024","132,269","133,370","133,845","132,165","14.04M","-0.48%"
"09/24/2024","132,901","132,590","133,865","132,335","14.53M","1.19%"
"09/23/2024","131,337","131,400","131,750","130,850","13.50M","-0.36%"
"09/20/2024","131,814","133,740","134,115","131,710","15.30M","-1.63%"
"09/19/2024","134,004","135,750","136,180","134,060","14.98M","-0.50%"
"09/18/2024","134,682","136,040","136,245","134,645","17.91M","-0.98%"
"09/17/2024","136,011","136,550","136,735","135,140","14.16M","-0.18%"
"09/16/2024","136,250","136,240","136,885","135,850","11.11M","0.12%"
"09/13/2024","136,081","135,250","137,085","135,095","12.62M","0.62%"
"09/12/2024","135,239","136,285","136,295","134,725","12.99M","-0.58%"
"09/11/2024","136,022","135,900","136,310","135,015","14.51M","0.30%"
"09/10/2024","135,617","135,740","136,145","135,035","12.81M","-0.32%"
"09/09/2024","136,059","136,500","136,800","135,860","11.62M","0.11%"
"09/06/2024","135,916","137,800","138,780","135,835","15.30M","-1.57%"
"09/05/2024","138,081","137,850","138,340","137,270","14.23M","0.19%"
"09/04/2024","137,814","135,880","138,460","135,755","15.19M","1.30%"
"09/03/2024","136,040","135,695","136,590","135,600","15.29M","-0.25%"
"09/02/2024","136,383","137,250","137,485","136,125","11.41M","-1.27%"
"08/30/2024","138,132","137,800","137,975","136,500","14.71M","0.33%"
"08/29/2024","137,683","139,315","139,425","137,510","14.43M","-1.04%"
"08/28/2024","139,123","138,260","139,280","137,520","14.98M","0.29%"
"08/27/2024","138,725","138,750","139,070","138,460","12.26M","-0.09%"
"08/26/2024","138,849","137,965","138,950","137,770","13.33M","0.83%"
"08/23/2024","137,705","137,760","138,485","137,320","12.95M","0.43%"
"08/22/2024","137,122","138,725","138,730","136,740","14.66M","-1.06%"
"08/21/2024","138,598","138,590","139,085","138,260","12.75M","0.24%"
"08/20/2024","138,272","138,050","138,475","137,405","14.17M","0.20%"
"08/19/2024","137,999","136,355","138,395","136,325","12.82M","1.36%"
"08/16/2024","136,149","136,200","137,050","136,030","12.55M","-0.16%"
"08/15/2024","136,372","135,410","136,770","135,355","13.01M","2.14%"
"08/14/2024","133,510","132,585","133,630","132,370","1.45M","0.71%"
"08/13/2024","132,564","131,520","132,575","131,480","13.18M","0.91%"
"08/12/2024","131,375","131,000","131,820","130,905","12.94M","0.39%"
"08/09/2024","130,859","128,835","130,870","128,635","14.48M","1.60%"
"08/08/2024","128,796","127,400","128,975","127,395","13.26M","0.83%"
"08/07/2024","127,730","126,900","127,750","126,705","16.40M","1.04%"
"08/06/2024","126,416","126,050","127,240","125,345","17.10M","0.73%"
"08/05/2024","125,495","123,790","125,610","123,130","17.99M","-0.62%"
"08/02/2024","126,276","127,315","128,430","126,090","15.34M","-1.15%"
"08/01/2024","127,741","127,980","129,325","127,515","15.03M","-0.30%"
"07/31/2024","128,123","127,400","128,295","127,055","13.29M","1.11%"
"07/30/2024","126,715","127,520","127,665","126,425","11.52M","-0.67%"
"07/29/2024","127,570","128,115","128,320","127,120","11.85M","-0.46%"
"07/26/2024","128,155","127,100","128,300","126,600","13.00M","1.26%"
"07/25/2024","126,560","126,745","126,875","126,185","13.02M","-0.43%"
"07/24/2024","127,107","127,005","127,475","126,845","13.21M","-0.12%"
"07/23/2024","127,254","128,465","128,505","127,210","13.23M","-1.12%"
"07/22/2024","128,693","128,400","128,950","128,135","12.86M","0.25%"
"07/19/2024","128,371","129,040","129,355","128,245","10.12M","-0.12%"
"07/18/2024","128,526","130,225","130,465","128,380","14.95M","-1.39%"
"07/17/2024","130,338","129,980","130,595","129,670","13.93M","0.13%"
"07/16/2024","130,165","130,200","130,565","129,730","15.30M","-0.18%"
"07/15/2024","130,398","129,950","130,570","129,750","13.93M","0.34%"
"07/12/2024","129,959","129,420","130,150","129,065","14.97M","0.44%"
"07/11/2024","129,390","128,400","129,515","128,325","15.91M","0.82%"
"07/10/2024","128,342","128,625","129,045","128,060","15.75M","-0.01%"
"07/09/2024","128,359","127,675","128,535","127,110","16.01M","0.55%"
"07/08/2024","127,652","127,600","127,845","126,790","15.59M","0.08%"
"07/05/2024","127,547","127,600","128,235","126,760","15.70M","0.04%"
"07/04/2024","127,498","128,000","128,240","127,370","13.06M","0.30%"
"07/03/2024","127,121","126,725","128,000","126,655","15.27M","0.57%"
"07/02/2024","126,400","125,700","126,950","125,545","17.94M","0.26%"
"07/01/2024","126,075","125,600","126,715","125,055","18.21M","0.54%"
"06/28/2024","125,401","125,835","126,120","124,700","18.07M","-0.31%"
"06/27/2024","125,791","124,050","125,825","124,050","17.37M","1.25%"
"06/26/2024","124,233","124,150","124,350","122,860","16.93M","0.29%"
"06/25/2024","123,872","124,035","124,410","123,520","15.31M","-0.27%"
"06/24/2024","124,211","123,090","124,490","122,820","14.61M","0.91%"
"06/21/2024","123,091","122,100","123,220","121,700","16.11M","0.76%"
"06/20/2024","122,157","123,270","123,395","121,770","19.03M","0.15%"
"06/19/2024","121,979","121,500","122,180","120,650","14.31M","0.54%"
"06/18/2024","121,322","120,550","121,845","120,275","16.74M","0.36%"
"06/17/2024","120,888","121,500","121,910","120,395","15.69M","-0.50%"
"06/14/2024","121,498","121,300","122,120","120,590","16.75M","0.02%"
"06/13/2024","121,473","121,830","122,260","121,025","18.16M","1.10%"
"06/12/2024","120,154","121,570","122,695","119,740","2.14M","-1.29%"
"06/11/2024","121,720","120,500","121,860","120,315","16.56M","0.69%"
"06/10/2024","120,884","120,695","121,500","120,515","16.91M","0.04%"
"06/07/2024","120,834","122,950","123,425","120,670","18.04M","-1.86%"
"06/06/2024","123,122","121,700","123,465","121,385","16.34M","1.27%"
"06/05/2024","121,579","122,305","122,380","121,410","16.60M","-0.36%"
"06/04/2024","122,013","121,720","122,190","121,120","17.52M","-0.25%"
"06/03/2024","122,323","122,860","122,920","121,730","15.80M","-0.25%"
"05/31/2024","122,627","123,350","123,460","122,215","14.00M","-0.37%"
"05/29/2024","123,078","123,720","123,865","122,865","15.10M","-0.90%"
"05/28/2024","124,200","125,415","126,200","123,930","18.14M","-0.61%"
"05/27/2024","124,959","124,810","125,085","124,550","10.62M","0.36%"
"05/25/2024","124,510","124,510","124,510","124,510","","-0.28%"
"05/24/2024","124,854","125,650","125,920","124,785","14.36M","-0.37%"
"05/23/2024","125,318","126,150","126,450","124,970","18.04M","-0.72%"
"05/22/2024","126,231","128,000","128,040","126,135","19.05M","-1.49%"
"05/21/2024","128,134","128,600","128,950","127,865","19.32M","-0.35%"
"05/20/2024","128,588","129,350","129,530","128,165","15.42M","-0.37%"
"05/17/2024","129,064","129,350","129,375","128,420","14.07M","-0.09%"
"05/16/2024","129,181","129,170","129,995","128,700","16.34M","0.16%"
"05/15/2024","128,973","128,230","129,230","127,610","18.11M","-0.40%"
"05/14/2024","129,489","128,715","129,965","128,510","17.11M","0.18%"
"05/13/2024","129,261","129,270","129,720","128,650","14.49M","0.48%"
"05/10/2024","128,638","129,600","130,025","128,525","15.55M","-0.50%"
"05/09/2024","129,279","129,600","129,625","128,385","16.95M","-0.96%"
"05/08/2024","130,526","129,900","130,695","129,150","15.16M","0.11%"
"05/07/2024","130,379","129,670","130,975","129,600","14.55M","0.47%"
"05/06/2024","129,771","130,415","130,485","129,480","14.15M","-0.14%"
"05/03/2024","129,958","128,450","130,315","127,845","16.30M","1.14%"
"05/02/2024","128,498","128,175","129,035","127,880","16.39M","0.90%"
"04/30/2024","127,350","128,320","128,620","127,115","15.65M","-1.01%"
"04/29/2024","128,648","127,990","128,690","127,720","14.93M","0.61%"
"04/26/2024","127,870","126,750","128,250","126,250","13.83M","1.44%"
"04/25/2024","126,056","125,915","127,255","125,040","18.04M","-0.16%"
"04/24/2024","126,253","127,040","127,300","126,005","15.89M","-0.27%"
"04/23/2024","126,597","127,025","127,435","125,760","17.74M","-0.39%"
"04/22/2024","127,093","127,295","127,655","126,125","16.17M","0.21%"
